State,Denominator,Prevalence,Lower CI,Upper CI,Year,Source,Source_Full1,State_Full1,State_Full2,Numerator_ASD,Numerator_NonASD,Proportion,95_Z_CI,Z_Lower CI,Z_Upper CI,Z_Lower CI_ABSerror,Z_Upper CI_ABSerror,Chi_Wilson_P,95_Chi_Wilson_CI,Chi_Wilson_Lower CI,Chi_Wilson_Upper CI,Chi_Wilson_Lower CI_ABSerror,Chi_Wilson_Upper CI_ABSerror,Chi_Wilson_Corrected_w_minus CI,Chi_Wilson_Corrected_w_plus CI,Chi_Wilson_Corrected_Lower CI,Chi_Wilson_Corrected_Upper CI,Chi_Wilson_Corrected_Lower CI_ABSerror,Chi_Wilson_Corrected_Upper CI_ABSerror,Male Prevalence,Male Lower CI,Male Upper CI,Female Prevalence,Female Lower CI,Female Upper CI,Non-hispanic white Prevalence,Non-hispanic white Lower CI,Non-hispanic white Upper CI,Non-hispanic black Prevalence,Non-hispanic black Lower CI,Non-hispanic black Upper CI,Hispanic Prevalence,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander Prevalence,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI
WI,35126,5.2,4.5,6,2002,addm,Autism & Developmental Disabilities Monitoring Network,Wisconsin,WI-Wisconsin,183,34943,0.005209816,0.000752854,4.456962225,5.962669956,0.043037775,0.037330044,0.005263922,0.000754755,4.509167041,6.018676053,0.009167041,0.018676053,0.004495955,0.006033929,4.495955136,6.033928567,0.004044864,0.033928567,7.9,6.7,9.3,2.3,1.7,3.1,5.9,5,6.9,3.7,2.5,5.5,0.3,0,2.1,3.8,1.4,10.1
AL,11676,4.6,3.5,6,2004,addm,Autism & Developmental Disabilities Monitoring Network,Alabama,AL-Alabama,54,11622,0.004624872,0.001230678,3.394193985,5.855549078,0.105806015,0.144450922,0.004787799,0.001241215,3.546583806,6.029013535,0.046583806,0.029013535,0.003509407,0.006077429,3.509407293,6.077428696,0.009407293,0.077428696,6.8,5,9.3,2.3,1.3,3.9,3.8,2.6,5.6,6,4.1,8.8,No data,No data,No data,No data,No data,No data
AZ,13620,9.8,8.2,11.6,2004,addm,Autism & Developmental Disabilities Monitoring Network,Arizona,AZ-Arizona,133,13487,0.009765051,0.001651452,8.113599495,11.41650329,0.086400505,0.183496705,0.009903281,0.001656995,8.246286134,11.56027574,0.046286134,0.039724259,0.00821265,0.011600035,8.212650326,11.60003478,0.012650326,3.47835E-05,15.8,13.1,19.1,3.6,2.4,5.3,12.6,10.2,15.7,5.6,2.1,15,7,5.1,9.6,11.9,4.9,28.5
GA,45190,8.9,8,9.8,2004,addm,Autism & Developmental Disabilities Monitoring Network,Georgia,GA-Georgia,402,44788,0.008895773,0.000865722,8.030051429,9.761495374,0.030051429,0.038504626,0.008937517,0.000866691,8.070826026,9.80420811,0.070826026,0.00420811,0.008060296,0.009815804,8.060295606,9.81580426,0.060295606,0.01580426,14.1,12.6,15.7,3.6,2.8,4.4,9.7,8.4,11.3,7.9,6.8,9.3,6.4,4.5,9,8.1,5.2,12.6
MD,20981,8.8,7.6,10.2,2004,addm,Autism & Developmental Disabilities Monitoring Network,Maryland,MD-Maryland,185,20796,0.008817502,0.001264983,7.552518855,10.08248424,0.047481145,0.117515757,0.008907417,0.001268059,7.639358034,10.17547557,0.039358034,0.024524429,0.007617222,0.010200991,7.61722198,10.20099063,0.01722198,0.00099063,14.1,12,16.5,3.2,2.3,4.6,7.4,6.2,9,12.8,9.8,16.7,8.8,3.9,19.5,12.3,7,21.7
MO,26970,8.2,7.2,9.3,2004,addm,Autism & Developmental Disabilities Monitoring Network,Missouri,MO-Missouri,221,26749,0.00819429,0.001075912,7.118378368,9.270201536,0.081621632,0.029798464,0.00826433,0.001078112,7.186217611,9.342442554,0.013782389,0.042442554,0.007168886,0.009362183,7.168886062,9.362182568,0.031113938,0.062182568,13.5,11.7,15.6,2.8,2,3.8,8.7,7.5,10.2,3.2,2.1,4.8,5.5,2.1,14.6,4.3,1.4,13.4
NC,20187,8.7,7.5,10.1,2004,addm,Autism & Developmental Disabilities Monitoring Network,North Carolina,NC-North Carolina,176,20011,0.008718482,0.001282423,7.43605964,10.00090474,0.06394036,0.099095257,0.008811952,0.001285703,7.526249516,10.09765484,0.026249516,0.002345156,0.007503287,0.010124218,7.503287431,10.12421755,0.003287431,0.024217552,14.8,12.6,17.3,2.4,1.6,3.6,8.6,7,10.4,9,6.8,11.8,6.8,4,11.4,5.3,1.7,16.3
SC,22399,5.3,4.4,6.3,2004,addm,Autism & Developmental Disabilities Monitoring Network,South Carolina,SC-South Carolina,119,22280,0.005312737,0.000951998,4.360738772,6.26473558,0.039261228,0.03526442,0.005397562,0.000955689,4.441873493,6.353250834,0.041873493,0.053250834,0.004421538,0.006377548,4.421537951,6.377548291,0.021537951,0.077548291,8.9,7.4,10.8,1.5,0.9,2.4,5.5,4.3,7,4.1,3,5.6,2.4,0.6,9.7,No data,No data,No data
WI,11312,7.8,6.3,9.6,2004,addm,Autism & Developmental Disabilities Monitoring Network,Wisconsin,WI-Wisconsin,88,11224,0.007779349,0.001619027,6.160322102,9.398376625,0.139677898,0.201623375,0.007946447,0.001627354,6.319092604,9.573800512,0.019092604,0.026199488,0.00627945,0.009622517,6.279450322,9.622516861,0.020549678,0.022516861,12,9.4,15.2,3.7,2.4,5.6,7.4,5.9,9.3,3.6,0.9,14.4,1.6,0.2,11.2,6,2,18.7
AL,35126,6,5.3,6.9,2006,addm,Autism & Developmental Disabilities Monitoring Network,Alabama,AL-Alabama,211,34915,0.006006946,0.000808076,5.198870258,6.815022585,0.101129742,0.084977415,0.006060965,0.000809836,5.251129137,6.870800286,0.048870863,0.029199714,0.005237846,0.006885982,5.237846169,6.885982005,0.062153831,0.014017995,9.1,7.8,10.6,2.9,2.2,3.8,5.8,5,6.9,6.8,5.3,8.7,0.6,0.1,4.4,2.7,0.4,19.1
AZ,41650,12.1,11.1,13.2,2006,addm,Autism & Developmental Disabilities Monitoring Network,Arizona,AZ-Arizona,504,41146,0.01210084,0.001050037,11.05080319,13.15087748,0.049196806,0.049122521,0.012145836,0.001050952,11.09488366,13.19678845,0.005116338,0.003211552,0.011083394,0.013209306,11.08339403,13.20930594,0.016605972,0.00930594,18.9,17.1,20.8,4.9,4,5.9,14.8,13.1,16.6,12.9,9,18.6,8.3,7,9.7,16.2,10.4,25.1
CO,7184,7.5,5.8,9.8,2006,addm,Autism & Developmental Disabilities Monitoring Network,Colorado,CO-Colorado,54,7130,0.007516704,0.001997286,5.51941782,9.513989752,0.28058218,0.286010248,0.007779906,0.002014024,5.765881323,9.793930265,0.034118677,0.006069735,0.005705431,0.009872562,5.705431336,9.872561785,0.094568664,0.072561785,11.5,8.5,15.6,3.4,1.9,6,6.7,4.6,9.8,12.5,7.1,21.9,4.5,2.3,9.1,7.3,2.4,22.6
FL,27615,4.2,3.5,5,2006,addm,Autism & Developmental Disabilities Monitoring Network,Florida,FL-Florida,116,27499,0.004200616,0.000762813,3.43780282,4.963428395,0.06219718,0.036571605,0.004269576,0.000765871,3.50370485,5.035446192,0.00370485,0.035446192,0.003487233,0.005055178,3.487233103,5.055178083,0.012766897,0.055178083,7.3,6,8.9,1,0.6,1.7,3.4,2.3,5.2,1.6,0.9,3,5.2,4.1,6.5,No data,No data,No data
GA,46621,10.2,9.3,11.1,2006,addm,Autism & Developmental Disabilities Monitoring Network,Georgia,GA-Georgia,476,46145,0.010209991,0.000912518,9.297473047,11.12250936,0.002526953,0.022509364,0.010250345,0.000913372,9.336972948,11.16371786,0.036972948,0.063717862,0.009326723,0.011174915,9.326722977,11.17491543,0.026722977,0.074915429,16.6,15.1,18.3,3.4,2.7,4.2,12,10.5,13.8,9.5,8.2,10.9,4.8,3.4,6.9,7.8,5.1,11.9
MD,26489,9.2,8.1,10.4,2006,addm,Autism & Developmental Disabilities Monitoring Network,Maryland,MD-Maryland,244,26245,0.009211371,0.001150451,8.06092023,10.36182129,0.03907977,0.038178714,0.009282535,0.001152566,8.129968843,10.43510126,0.029968843,0.035101257,0.008112262,0.010455139,8.112261732,10.45513897,0.012261732,0.055138968,15.6,13.7,17.9,2.4,1.7,3.4,9.3,8,10.8,7.9,5.9,10.6,6.3,3,13.2,9.6,5.5,17
MO,26533,12.1,10.9,13.5,2006,addm,Autism & Developmental Disabilities Monitoring Network,Missouri,MO-Missouri,321,26212,0.012098142,0.00131544,10.78270161,13.41358226,0.117298389,0.086417738,0.01216877,0.00131724,10.85153038,13.48601031,0.048469622,0.013989686,0.010833699,0.013505862,10.83369932,13.5058619,0.06630068,0.005861902,19.3,17,21.7,4.7,3.7,6.1,13.7,12.1,15.5,5.1,3.6,7.1,2.6,0.6,10.3,7.8,3.5,17.3
NC,22195,10.4,9.1,11.8,2006,addm,Autism & Developmental Disabilities Monitoring Network,North Carolina,NC-North Carolina,231,21964,0.010407749,0.001335141,9.072608672,11.74289031,0.027391328,0.057109686,0.010492472,0.001337711,9.154761398,11.83018323,0.054761398,0.03018323,0.009133665,0.011854133,9.133665015,11.85413265,0.033665015,0.054132655,17,14.7,19.5,3.4,2.5,4.7,12.2,10.4,14.3,7.5,5.6,10,6.1,3.7,10,4.8,1.5,14.8
PA,17886,8.4,7.2,9.8,2006,addm,Autism & Developmental Disabilities Monitoring Network,Pennsylvania,PA-Pennsylvania,150,17736,0.008386448,0.001336447,7.050000561,9.722894441,0.149999439,0.077105559,0.008492011,0.001340467,7.151544404,9.832477479,0.048455596,0.032477479,0.007125798,0.009862625,7.125798459,9.86262544,0.074201541,0.06262544,13.3,11.1,15.8,3.3,2.3,4.8,10.1,7.7,13.3,7.5,5.9,9.5,7.7,5.1,11.7,1,0.2,7.4
SC,22681,8.6,7.5,9.9,2006,addm,Autism & Developmental Disabilities Monitoring Network,South Carolina,SC-South Carolina,195,22486,0.008597505,0.001201512,7.395992272,9.799016766,0.104007728,0.100983234,0.008680719,0.001204289,7.476429855,9.885007717,0.023570145,0.014992283,0.007455913,0.009908571,7.455912708,9.908570876,0.044087292,0.008570876,14.3,12.3,16.6,2.6,1.8,3.7,7.1,5.7,8.7,7.3,5.7,9.3,4.8,2,11.4,3.6,0.5,25.2
WI,34058,7.5,6.7,8.5,2006,addm,Autism & Developmental Disabilities Monitoring Network,Wisconsin,WI-Wisconsin,255,33803,0.007487228,0.000915518,6.571709239,8.402746102,0.128290761,0.097253898,0.007542773,0.00091715,6.625622416,8.459923074,0.074377584,0.040076926,0.006611833,0.008475491,6.611832689,8.475490824,0.088167311,0.024509176,12.7,11.1,14.5,2.3,1.6,3.1,8.5,7.4,9.8,3.6,2.4,5.4,1.7,0.8,3.5,5.8,2.8,12.2
AL,36566,4.8,4.1,5.5,2008,addm,Autism & Developmental Disabilities Monitoring Network,Alabama,AL-Alabama,176,36390,0.004813214,0.000709381,4.103833922,5.522595001,0.003833922,0.022595001,0.004865231,0.000711248,4.153983154,5.576479015,0.053983154,0.076479015,0.004141311,0.005591151,4.14131133,5.591150694,0.04131133,0.091150694,8.1,7,9.5,1.1,0.7,1.8,5,4.2,6,4,2.9,5.5,1.4,0.5,4.4,4.1,1,16.4
AZ,32601,15.6,14.3,17,2008,addm,Autism & Developmental Disabilities Monitoring Network,Arizona,AZ-Arizona,509,32092,0.015613018,0.001345733,14.26728473,16.95875128,0.03271527,0.041248719,0.015670088,0.001346864,14.3232242,17.01695146,0.023224199,0.016951465,0.014308539,0.017032936,14.30853901,17.03293623,0.008539007,0.03293623,25.1,22.8,27.6,5.4,4.4,6.7,20.7,18.5,23.1,16.1,11.2,23.1,8.9,7.5,10.6,19,11.8,30.6
AR,4940,10.5,8,13.8,2008,addm,Autism & Developmental Disabilities Monitoring Network,Arkansas,AR-Arkansas,52,4888,0.010526316,0.002845935,7.680381043,13.37225054,0.319618957,0.427749464,0.010906646,0.00287014,8.036506359,13.77678594,0.036506359,0.02321406,0.007948805,0.013891291,7.948805066,13.89129116,0.051194934,0.091291155,17.5,13,23.6,3.6,1.9,7,13.5,9.5,19.1,7.1,4.3,11.8,10.1,3.3,31.4,No data,No data,No data
CO,7725,11.8,9.6,14.4,2008,addm,Autism & Developmental Disabilities Monitoring Network,Colorado,CO-Colorado,91,7634,0.011779935,0.002406008,9.373926911,14.18594364,0.226073089,0.21405636,0.012022595,0.002417619,9.60497562,14.44021405,0.00497562,0.040214052,0.009546785,0.014511391,9.546785341,14.51139097,0.053214659,0.11139097,20.1,16.1,25,2.9,1.6,5.3,14.8,11.5,19.1,10.5,5.8,18.9,6.7,4.1,11.1,2.6,0.4,18.3
FL,29366,7.2,6.3,8.2,2008,addm,Autism & Developmental Disabilities Monitoring Network,Florida,FL-Florida,211,29155,0.00718518,0.000966003,6.219176752,8.151183529,0.080823248,0.048816471,0.007249638,0.000968089,6.281549859,8.217726871,0.018450141,0.017726871,0.00626566,0.008235884,6.265659803,8.235883981,0.034340197,0.035883981,11.3,9.7,13.1,2.9,2.1,3.9,4.6,3.2,6.5,3,1.9,4.7,8.2,6.9,9.8,2.2,0.3,16
GA,50427,11.9,11,12.9,2008,addm,Autism & Developmental Disabilities Monitoring Network,Georgia,GA-Georgia,600,49827,0.011898388,0.000946371,10.95201685,12.84475869,0.047983155,0.055241308,0.011935568,0.000947065,10.98850287,12.88263281,0.011497132,0.01736719,0.010978978,0.012892937,10.97897761,12.89293652,0.021022388,0.007063478,19.6,18,21.4,3.8,3.1,4.6,11.8,10.3,13.5,11.9,10.5,13.5,7.1,5.5,9.2,15.9,11.9,21.1
MD,27022,12.4,11.2,13.8,2008,addm,Autism & Developmental Disabilities Monitoring Network,Maryland,MD-Maryland,335,26687,0.012397306,0.001319302,11.07800415,13.71660765,0.121995849,0.083392353,0.012466614,0.001321027,11.14558649,13.78764121,0.054413513,0.012358789,0.011128057,0.013807112,11.1280567,13.8071123,0.071943301,0.007112296,20.5,18.3,23.1,3.9,2.9,5.1,12.9,11.4,14.7,11.7,9.3,14.9,5.9,3,11.9,8.2,4.6,14.4
MO,25668,13.9,12.5,15.4,2008,addm,Autism & Developmental Disabilities Monitoring Network,Missouri,MO-Missouri,357,25311,0.013908368,0.001432679,12.47568969,15.3410471,0.024310306,0.058952901,0.013981106,0.001434417,12.54668882,15.41552262,0.046688818,0.015522618,0.0125282,0.015435986,12.52820022,15.43598648,0.028200217,0.035986483,21.6,19.2,24.3,5.9,4.7,7.4,14.6,12.9,16.5,9.3,7.1,12,9,4.5,18,9.8,4.9,19.6
NJ,7082,20.5,17.4,24,2008,addm,Autism & Developmental Disabilities Monitoring Network,New Jersey,NJ-New Jersey,145,6937,0.020474442,0.003298254,17.17618857,23.77269593,0.223811433,0.227304071,0.020734408,0.003307592,17.42681664,24.04199981,0.026816639,0.041999806,0.017361804,0.024118104,17.3618045,24.11810405,0.038195501,0.118104049,34.2,28.7,40.7,5.8,3.8,9.1,21,16.5,26.8,20.6,14.7,29,20,14.7,27.2,3.1,0.4,22
NC,36913,14.2,13.1,15.5,2008,addm,Autism & Developmental Disabilities Monitoring Network,North Carolina,NC-North Carolina,524,36389,0.014195541,0.001206785,12.98875621,15.40232553,0.111243793,0.097674474,0.014246092,0.00120778,13.03831202,15.4538725,0.061687983,0.046127495,0.013025335,0.015467983,13.02533508,15.4679832,0.074664916,0.032016803,23.1,21,25.3,5.1,4.1,6.2,14.6,13.1,16.4,15.4,13.1,18.1,7.6,5.6,10.5,11.8,7.2,19.3
PA,18440,13.3,11.7,15,2008,addm,Autism & Developmental Disabilities Monitoring Network,Pennsylvania,PA-Pennsylvania,245,18195,0.013286334,0.001652593,11.63374152,14.9389266,0.066258484,0.061073403,0.013387706,0.001655527,11.73217915,15.04323311,0.032179153,0.043233113,0.011706731,0.015072002,11.70673068,15.07200153,0.006730684,0.072001527,22.2,19.4,25.4,4.3,3.1,5.8,14.3,11.4,17.9,12.7,10.6,15.2,9.1,6.3,13.2,8.4,4.4,16.2
SC,23769,11.1,9.9,12.5,2008,addm,Autism & Developmental Disabilities Monitoring Network,South Carolina,SC-South Carolina,264,23505,0.011106904,0.001332336,9.774567786,12.43924011,0.125432214,0.060759885,0.011185904,0.001334569,9.851335502,12.52047309,0.048664498,0.020473091,0.009831549,0.01254275,9.831548728,12.54274991,0.068451272,0.042749909,18.3,16.1,20.9,3.5,2.6,4.8,10.2,8.6,12.2,9.9,8.1,12.1,7,3.6,13.5,No data,No data,No data
UT,2123,21.2,15.9,28.2,2008,addm,Autism & Developmental Disabilities Monitoring Network,Utah,UT-Utah,45,2078,0.02119642,0.00612706,15.06936023,27.32348009,0.83063977,0.87651991,0.022061226,0.006182309,15.87891653,28.24353483,0.021083468,0.04353483,0.015676808,0.028511416,15.67680756,28.51141554,0.223192439,0.311415541,31.7,22.4,44.8,11.7,6.8,20.1,40,28.9,55.5,25.9,8.3,80.2,4.4,1.7,11.8,No data,No data,No data
WI,34451,7.8,6.9,8.7,2008,addm,Autism & Developmental Disabilities Monitoring Network,Wisconsin,WI-Wisconsin,269,34182,0.007808191,0.000929438,6.878753788,8.7376289,0.021246212,0.0376289,0.007863067,0.000931004,6.932062669,8.794071479,0.032062669,0.094071479,0.006918407,0.008809438,6.918406685,8.809438181,0.018406685,0.109438181,11.7,10.2,13.4,3.7,2.9,4.7,8.6,7.5,9.9,5,3.5,7.2,3.8,2.4,6.1,2.4,0.8,7.4
