"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor"
"MO",28049,7.3,6.4,8.4,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Missouri","MO-Missouri",205,27844,0.007308638,6.360458875,8.39416028,11.3,9.7,13.2,3.1,2.3,4.3,7.7,6.5,9,4.7,3.4,6.5,1.8,0.3,13,7.1,2.7,19,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"NJ",29748,10.6,9.5,11.9,2002,"addm","Autism & Developmental Disabilities Monitoring Network","New Jersey","NJ-New Jersey",315,29433,0.010588947,9.471459124,11.8346409,16.8,14.9,19,4,3.1,5.2,12.5,10.7,14.6,7.7,6,9.9,9.7,7.7,12.3,14,9.2,21.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2002"
"NC",20725,6.5,5.5,7.7,2002,"addm","Autism & Developmental Disabilities Monitoring Network","North Carolina","NC-North Carolina",135,20590,0.006513872,5.484282603,7.730381572,10.6,8.9,12.8,2.1,1.4,3.2,6.4,5.2,8,7.2,5.4,9.6,4.1,2,8.6,1.9,0.3,13.7,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"PA",21061,5.3,4.4,6.3,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Pennsylvania","PA-Pennsylvania",112,20949,0.005317886,4.400244628,6.420293727,8.7,7.1,10.6,1.8,1.2,2.9,7.6,5.7,10.2,4.2,3.2,5.6,4.7,2.8,8,1.2,0.2,8.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"SC",23191,6,5.1,7.1,2002,"addm","Autism & Developmental Disabilities Monitoring Network","South Carolina","SC-South Carolina",139,23052,0.005993704,5.059038755,7.095540809,9.2,7.6,11.1,2.7,1.9,3.9,6,4.8,7.6,5.5,4.2,7.1,4.4,1.4,13.6,4.5,0.6,32,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"UT",26108,7.5,6.5,8.6,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Utah","UT-Utah",196,25912,0.007507277,6.512431237,8.649674327,12.7,11,14.8,2,1.3,2.9,8,6.9,9.3,5.5,1.4,22,4.4,2.6,7.2,2.2,0.6,8.8,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"WV",21472,7.1,6.1,8.3,2002,"addm","Autism & Developmental Disabilities Monitoring Network","West Virginia","WV-West Virginia",152,21320,0.007078987,6.020955828,8.317008577,11,9.2,13.1,3,2.1,4.2,6.8,5.7,8,6.4,2.9,14.2,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"WI",35126,5.2,4.5,6,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Wisconsin","WI-Wisconsin",183,34943,0.005209816,4.495955136,6.033928567,7.9,6.7,9.3,2.3,1.7,3.1,5.9,5,6.9,3.7,2.5,5.5,0.3,0,2.1,3.8,1.4,10.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"AL",11676,4.6,3.5,6,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Alabama","AL-Alabama",54,11622,0.004624872,3.509407293,6.077428696,6.8,5,9.3,2.3,1.3,3.9,3.8,2.6,5.6,6,4.1,8.8,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","Low","Low","2004"
"AZ",13620,9.8,8.2,11.6,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",133,13487,0.009765051,8.212650326,11.60003478,15.8,13.1,19.1,3.6,2.4,5.3,12.6,10.2,15.7,5.6,2.1,15,7,5.1,9.6,11.9,4.9,28.5,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"GA",45190,8.9,8,9.8,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",402,44788,0.008895773,8.060295606,9.81580426,14.1,12.6,15.7,3.6,2.8,4.4,9.7,8.4,11.3,7.9,6.8,9.3,6.4,4.5,9,8.1,5.2,12.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"MD",20981,8.8,7.6,10.2,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",185,20796,0.008817502,7.61722198,10.20099063,14.1,12,16.5,3.2,2.3,4.6,7.4,6.2,9,12.8,9.8,16.7,8.8,3.9,19.5,12.3,7,21.7,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"MO",26970,8.2,7.2,9.3,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Missouri","MO-Missouri",221,26749,0.00819429,7.168886062,9.362182568,13.5,11.7,15.6,2.8,2,3.8,8.7,7.5,10.2,3.2,2.1,4.8,5.5,2.1,14.6,4.3,1.4,13.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"NC",20187,8.7,7.5,10.1,2004,"addm","Autism & Developmental Disabilities Monitoring Network","North Carolina","NC-North Carolina",176,20011,0.008718482,7.503287431,10.12421755,14.8,12.6,17.3,2.4,1.6,3.6,8.6,7,10.4,9,6.8,11.8,6.8,4,11.4,5.3,1.7,16.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"SC",22399,5.3,4.4,6.3,2004,"addm","Autism & Developmental Disabilities Monitoring Network","South Carolina","SC-South Carolina",119,22280,0.005312737,4.421537951,6.377548291,8.9,7.4,10.8,1.5,0.9,2.4,5.5,4.3,7,4.1,3,5.6,2.4,0.6,9.7,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"WI",11312,7.8,6.3,9.6,2004,"addm","Autism & Developmental Disabilities Monitoring Network","Wisconsin","WI-Wisconsin",88,11224,0.007779349,6.279450322,9.622516861,12,9.4,15.2,3.7,2.4,5.6,7.4,5.9,9.3,3.6,0.9,14.4,1.6,0.2,11.2,6,2,18.7,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2004"
"AL",35126,6,5.3,6.9,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Alabama","AL-Alabama",211,34915,0.006006946,5.237846169,6.885982005,9.1,7.8,10.6,2.9,2.2,3.8,5.8,5,6.9,6.8,5.3,8.7,0.6,0.1,4.4,2.7,0.4,19.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"AZ",41650,12.1,11.1,13.2,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",504,41146,0.01210084,11.08339403,13.20930594,18.9,17.1,20.8,4.9,4,5.9,14.8,13.1,16.6,12.9,9,18.6,8.3,7,9.7,16.2,10.4,25.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2006"
"CO",7184,7.5,5.8,9.8,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Colorado","CO-Colorado",54,7130,0.007516704,5.705431336,9.872561785,11.5,8.5,15.6,3.4,1.9,6,6.7,4.6,9.8,12.5,7.1,21.9,4.5,2.3,9.1,7.3,2.4,22.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"FL",27615,4.2,3.5,5,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Florida","FL-Florida",116,27499,0.004200616,3.487233103,5.055178083,7.3,6,8.9,1,0.6,1.7,3.4,2.3,5.2,1.6,0.9,3,5.2,4.1,6.5,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","Low","Low","2006"
"GA",46621,10.2,9.3,11.1,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",476,46145,0.010209991,9.326722977,11.17491543,16.6,15.1,18.3,3.4,2.7,4.2,12,10.5,13.8,9.5,8.2,10.9,4.8,3.4,6.9,7.8,5.1,11.9,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2006"
"MD",26489,9.2,8.1,10.4,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",244,26245,0.009211371,8.112261732,10.45513897,15.6,13.7,17.9,2.4,1.7,3.4,9.3,8,10.8,7.9,5.9,10.6,6.3,3,13.2,9.6,5.5,17,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"MO",26533,12.1,10.9,13.5,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Missouri","MO-Missouri",321,26212,0.012098142,10.83369932,13.5058619,19.3,17,21.7,4.7,3.7,6.1,13.7,12.1,15.5,5.1,3.6,7.1,2.6,0.6,10.3,7.8,3.5,17.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2006"
"NC",22195,10.4,9.1,11.8,2006,"addm","Autism & Developmental Disabilities Monitoring Network","North Carolina","NC-North Carolina",231,21964,0.010407749,9.133665015,11.85413265,17,14.7,19.5,3.4,2.5,4.7,12.2,10.4,14.3,7.5,5.6,10,6.1,3.7,10,4.8,1.5,14.8,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2006"
"PA",17886,8.4,7.2,9.8,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Pennsylvania","PA-Pennsylvania",150,17736,0.008386448,7.125798459,9.86262544,13.3,11.1,15.8,3.3,2.3,4.8,10.1,7.7,13.3,7.5,5.9,9.5,7.7,5.1,11.7,1,0.2,7.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"SC",22681,8.6,7.5,9.9,2006,"addm","Autism & Developmental Disabilities Monitoring Network","South Carolina","SC-South Carolina",195,22486,0.008597505,7.455912708,9.908570876,14.3,12.3,16.6,2.6,1.8,3.7,7.1,5.7,8.7,7.3,5.7,9.3,4.8,2,11.4,3.6,0.5,25.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"WI",34058,7.5,6.7,8.5,2006,"addm","Autism & Developmental Disabilities Monitoring Network","Wisconsin","WI-Wisconsin",255,33803,0.007487228,6.611832689,8.475490824,12.7,11.1,14.5,2.3,1.6,3.1,8.5,7.4,9.8,3.6,2.4,5.4,1.7,0.8,3.5,5.8,2.8,12.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2006"
"AL",36566,4.8,4.1,5.5,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Alabama","AL-Alabama",176,36390,0.004813214,4.14131133,5.591150694,8.1,7,9.5,1.1,0.7,1.8,5,4.2,6,4,2.9,5.5,1.4,0.5,4.4,4.1,1,16.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","Low","Low","2008"
"AZ",32601,15.6,14.3,17,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",509,32092,0.015613018,14.30853901,17.03293623,25.1,22.8,27.6,5.4,4.4,6.7,20.7,18.5,23.1,16.1,11.2,23.1,8.9,7.5,10.6,19,11.8,30.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"AR",4940,10.5,8,13.8,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Arkansas","AR-Arkansas",52,4888,0.010526316,7.948805066,13.89129116,17.5,13,23.6,3.6,1.9,7,13.5,9.5,19.1,7.1,4.3,11.8,10.1,3.3,31.4,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"CO",7725,11.8,9.6,14.4,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Colorado","CO-Colorado",91,7634,0.011779935,9.546785341,14.51139097,20.1,16.1,25,2.9,1.6,5.3,14.8,11.5,19.1,10.5,5.8,18.9,6.7,4.1,11.1,2.6,0.4,18.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"FL",29366,7.2,6.3,8.2,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Florida","FL-Florida",211,29155,0.00718518,6.265659803,8.235883981,11.3,9.7,13.1,2.9,2.1,3.9,4.6,3.2,6.5,3,1.9,4.7,8.2,6.9,9.8,2.2,0.3,16,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2008"
"GA",50427,11.9,11,12.9,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",600,49827,0.011898388,10.97897761,12.89293652,19.6,18,21.4,3.8,3.1,4.6,11.8,10.3,13.5,11.9,10.5,13.5,7.1,5.5,9.2,15.9,11.9,21.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"MD",27022,12.4,11.2,13.8,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",335,26687,0.012397306,11.1280567,13.8071123,20.5,18.3,23.1,3.9,2.9,5.1,12.9,11.4,14.7,11.7,9.3,14.9,5.9,3,11.9,8.2,4.6,14.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"MO",25668,13.9,12.5,15.4,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Missouri","MO-Missouri",357,25311,0.013908368,12.52820022,15.43598648,21.6,19.2,24.3,5.9,4.7,7.4,14.6,12.9,16.5,9.3,7.1,12,9,4.5,18,9.8,4.9,19.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"NJ",7082,20.5,17.4,24,2008,"addm","Autism & Developmental Disabilities Monitoring Network","New Jersey","NJ-New Jersey",145,6937,0.020474442,17.3618045,24.11810405,34.2,28.7,40.7,5.8,3.8,9.1,21,16.5,26.8,20.6,14.7,29,20,14.7,27.2,3.1,0.4,22,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Very High","2008"
"NC",36913,14.2,13.1,15.5,2008,"addm","Autism & Developmental Disabilities Monitoring Network","North Carolina","NC-North Carolina",524,36389,0.014195541,13.02533508,15.4679832,23.1,21,25.3,5.1,4.1,6.2,14.6,13.1,16.4,15.4,13.1,18.1,7.6,5.6,10.5,11.8,7.2,19.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"PA",18440,13.3,11.7,15,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Pennsylvania","PA-Pennsylvania",245,18195,0.013286334,11.70673068,15.07200153,22.2,19.4,25.4,4.3,3.1,5.8,14.3,11.4,17.9,12.7,10.6,15.2,9.1,6.3,13.2,8.4,4.4,16.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"SC",23769,11.1,9.9,12.5,2008,"addm","Autism & Developmental Disabilities Monitoring Network","South Carolina","SC-South Carolina",264,23505,0.011106904,9.831548728,12.54274991,18.3,16.1,20.9,3.5,2.6,4.8,10.2,8.6,12.2,9.9,8.1,12.1,7,3.6,13.5,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2008"
"UT",2123,21.2,15.9,28.2,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Utah","UT-Utah",45,2078,0.02119642,15.67680756,28.51141554,31.7,22.4,44.8,11.7,6.8,20.1,40,28.9,55.5,25.9,8.3,80.2,4.4,1.7,11.8,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Very High","2008"
"WI",34451,7.8,6.9,8.7,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Wisconsin","WI-Wisconsin",269,34182,0.007808191,6.918406685,8.809438181,11.7,10.2,13.4,3.7,2.9,4.7,8.6,7.5,9.9,5,3.5,7.2,3.8,2.4,6.1,2.4,0.8,7.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2008"
"AL",21833,5.7,4.8,6.8,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Alabama","AL-Alabama",124,21709,0.005679476,4.745030053,6.791820416,8.8,7.3,10.8,2.4,1.7,3.6,6.2,5,7.8,5.3,3.8,7.4,1.2,0.3,4.8,3,0.4,21.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2010"
"AZ",33768,15.7,14.4,17.1,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",530,33238,0.015695333,14.40946153,17.09261042,25.1,22.9,27.6,6,4.9,7.3,18.8,16.8,21.1,16.3,11.6,23.1,10.6,9,12.5,19.4,12.7,29.8,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"AR",38956,15.5,14.3,16.8,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Arkansas","AR-Arkansas",604,38352,0.015504672,14.31236851,16.79351702,24.9,22.8,27.2,5.8,4.9,7,17.6,16.1,19.3,11,8.9,13.7,9.1,6.6,12.5,11.5,5.8,23.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"CO",38806,9.9,9,10.9,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Colorado","CO-Colorado",384,38422,0.009895377,8.945677066,10.94336736,15.3,13.6,17.1,4.2,3.4,5.3,11.3,10,12.9,9.2,6,13.9,6.1,4.9,7.7,7.4,4.4,12.5,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2010"
"GA",48529,15.5,14.5,16.7,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",752,47777,0.015495889,14.42475415,16.64444128,25.4,23.5,27.5,5.5,4.6,6.5,18.2,16.2,20.4,14,12.5,15.7,10.7,8.7,13.1,12.3,9,16.9,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"MD",27605,16.6,15.2,18.2,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",458,27147,0.016591197,15.1329445,18.18558706,27,24.4,29.9,5.6,4.5,7.1,16.8,15,18.8,15.5,12.7,18.9,9.8,6.2,15.5,11.9,7.8,18.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"MO",25367,14.2,12.8,15.7,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Missouri","MO-Missouri",360,25007,0.014191666,12.78921596,15.74322099,23.1,20.6,25.9,5,3.9,6.3,13.7,12.1,15.6,8.4,6.4,11,12.3,7,21.7,8.5,4,17.8,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"NJ",31723,21.9,20.4,23.6,2010,"addm","Autism & Developmental Disabilities Monitoring Network","New Jersey","NJ-New Jersey",695,31028,0.021908395,20.33929238,23.59440254,36,33.1,39,7.5,6.2,9,22.7,20.3,25.3,17.9,15,21.2,21.4,18.5,24.6,21,15.1,29.2,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Very High","2010"
"NC",37783,17.3,16.1,18.7,2010,"addm","Autism & Developmental Disabilities Monitoring Network","North Carolina","NC-North Carolina",654,37129,0.017309372,16.0297857,18.68808694,28.7,26.4,31.2,5.6,4.6,6.8,18.9,17.1,20.9,15.7,13.4,18.4,9.7,7.5,12.6,18.7,13.2,26.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"UT",23756,18.6,17,20.4,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Utah","UT-Utah",442,23314,0.018605826,16.94360846,20.42561019,29.2,26.3,32.4,7.4,6,9.1,19.1,17.1,21.3,9,3.7,21.6,16.6,13.3,20.7,5,2.1,12,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2010"
"WI",35623,9.3,8.3,10.3,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Wisconsin","WI-Wisconsin",331,35292,0.00929175,8.333687251,10.35712184,15.3,13.6,17.2,3.1,2.4,4,10.5,9.2,11.9,4.6,3.2,6.6,5.6,4,7.9,5.8,2.9,11.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2010"
"AZ",32615,15.1,13.9,16.5,2012,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",492,32123,0.015085084,13.80351342,16.482191,24.2,22,26.7,5.7,4.7,7,16.9,15,19.1,19.4,14,26.9,11.3,9.6,13.3,13.3,8.3,21.4,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2012"
"AR",14153,8.8,7.4,10.5,2012,"addm","Autism & Developmental Disabilities Monitoring Network","Arkansas","AR-Arkansas",125,14028,0.00883205,7.386067087,10.55067489,14.1,11.6,17.1,3.4,2.3,5.1,8.9,7.2,11.1,8,5.6,11.5,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2012"
"CO",40538,10.8,9.8,11.8,2012,"addm","Autism & Developmental Disabilities Monitoring Network","Colorado","CO-Colorado",438,40100,0.010804677,9.831860902,11.87133361,17.1,15.4,19,4.2,3.4,5.2,12.2,10.9,13.8,10.5,7.2,15.1,6.5,5.2,8,8.4,5.2,13.5,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2012"
"GA",49720,15.5,14.5,16.6,2012,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",771,48949,0.015506838,14.44790451,16.64132469,25.6,23.7,27.6,5.2,4.3,6.1,18.3,16.3,20.5,13.7,12.2,15.4,9,7.2,11.2,13.7,10.3,18.1,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High","2012"
