"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","State_Region","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor","R10_Denominator","RMD_Year","RMD_R10_Denominator"
"NC",619018,5.8,5.6,6,2006,"medi","Medicaid","North Carolina","NC-North Carolina",3590,615428,0.005799508,5.612596327,5.99258008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","Medium",2006,5.7917032777552,-0.168622689869149,0.407017713816618
"GA",656791,3.3,3.2,3.5,2003,"medi","Medicaid","Georgia","GA-Georgia",2167,654624,0.003299375,3.162819019,3.44177366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2003,5.81742719301955,-0.674490759476595,0.450011678097498
"AK",123001,1.8,1.6,2,2001,"sped","Special Education Child Count","Alaska","AK-Alaska",221,122780,0.001796733,1.571316038,2.053801915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","Low","Low",2001,5.08990864227449,-1.01173613921489,-0.765934893914464
"VT",49176,17,15.9,18.2,2008,"medi","Medicaid","Vermont","VT-Vermont",836,48340,0.017000163,15.88493193,18.19151916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","High",2008,4.6917532001128,0.168622689869149,-1.43139661242131
"NY",2500499,2.2,2.2,2.3,2000,"sped","Special Education Child Count","New York","NY-New York",5501,2494998,0.002199961,2.142451702,2.259004855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","SPED","SPED Special Education Child Count","Low","Low",2000,6.3980266852006,-1.18035882908404,1.42040337670976
"GA",810505,6.8,6.7,7,2011,"medi","Medicaid","Georgia","GA-Georgia",5511,804994,0.006799465,6.622271924,6.981348369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","Medium",2011,5.90875569835259,0.674490759476595,0.602654635274277
"WV",246963,5,4.7,5.3,2010,"sped","Special Education Child Count","West Virginia","WV-West Virginia",1235,245728,0.005000749,4.728173167,5.288836039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","High","Medium",2010,5.39263189212812,0.505868069607446,-0.259974877429837
"ME",87386,12.1,11.4,12.8,2002,"medi","Medicaid","Maine","ME-Maine",1057,86329,0.012095759,11.38658107,12.84816982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","High",2002,4.9414418604403,-0.843113449345744,-1.01407657256178
"NV",339018,1.9,1.8,2.1,2002,"sped","Special Education Child Count","Nevada","NV-Nevada",644,338374,0.001899604,1.75714879,2.053460966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2002,5.53022275747489,-0.843113449345744,-0.0300107880094015
"MN",211436,5.6,5.3,5.9,2000,"medi","Medicaid","Minnesota","MN-Minnesota",1184,210252,0.005599803,5.288291541,5.929413085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","High","Medium",2000,5.32517893410795,-1.18035882908404,-0.372713161550143
"IN",461624,6.4,6.2,6.7,2008,"medi","Medicaid","Indiana","IN-Indiana",2954,458670,0.006399147,6.172132557,6.634415883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2008,5.66428837986304,0.168622689869149,0.194061345684747
"MT",41884,7.8,7,8.7,2004,"medi","Medicaid","Montana","MT-Montana",327,41557,0.007807277,6.997056347,8.70905104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","Medium",2004,4.62204815091925,-0.505868069607446,-1.54789895525783
"AZ",458585,4.3,4.1,4.5,2004,"medi","Medicaid","Arizona","AZ-Arizona",1972,456613,0.004300184,4.11384032,4.494880657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","Low","Low",2004,5.66141984515238,-0.505868069607446,0.189266986909229
"IL",1840920,9.2,9.1,9.3,2013,"sped","Special Education Child Count","Illinois","IL-Illinois",16936,1823984,0.009199748,9.062583814,9.338964431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","High","Medium",2013,6.26503491598177,1.01173613921489,1.1981260399713
"HI",111935,1.9,1.7,2.2,2012,"medi","Medicaid","Hawaii","HI-Hawaii",213,111722,0.00190289,1.659943685,2.180620126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2012,5.04896590359887,0.843113449345744,-0.834365015305065
"FL",1057472,4,3.9,4.1,2008,"medi","Medicaid","Florida","FL-Florida",4230,1053242,0.004000106,3.881124983,4.122704611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2008,6.02426887684473,0.168622689869149,0.795718926577748
"OK",325747,1.4,1.2,1.5,2002,"medi","Medicaid","Oklahoma","OK-Oklahoma",456,325291,0.001399859,1.275746377,1.535872473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2002,5.51288042472401,-0.843113449345744,-0.0589960970953749
"MO",400654,2.7,2.5,2.9,2000,"medi","Medicaid","Missouri","MO-Missouri",1082,399572,0.002700585,2.543375725,2.86740348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","Low","Low",2000,5.60276948295439,-1.18035882908404,0.0912410234628368
"NM",183786,1.5,1.3,1.7,2000,"medi","Medicaid","New Mexico","NM-New Mexico",276,183510,0.001501747,1.33226388,1.692387576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","Low","Low",2000,5.26431242568818,-1.18035882908404,-0.474443106700771
"MD",27022,12.4,11.2,13.8,2008,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",335,26687,0.012397306,11.1280567,13.8071123,20.5,18.3,23.1,3.9,2.9,5.1,12.9,11.4,14.7,11.7,9.3,14.9,5.9,3,11.9,8.2,4.6,14.4,"D5 South Atlantic","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High",2008,4.43171748964601,0.168622689869149,-1.86601031459973
"AZ",576963,9.5,9.3,9.8,2009,"medi","Medicaid","Arizona","AZ-Arizona",5481,571482,0.009499743,9.251834646,9.754204726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","Medium",2009,5.76114796322322,0.337245379738298,0.355948734305564
"MS",439395,1.3,1.2,1.4,2003,"sped","Special Education Child Count","Mississippi","MS-Mississippi",571,438824,0.001299514,1.196174526,1.411666568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2003,5.64285511065285,-0.674490759476595,0.158238602475724
"AZ",804559,1.3,1.2,1.4,2000,"sped","Special Education Child Count","Arizona","AZ-Arizona",1046,803513,0.001300091,1.223097683,1.381884275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2000,5.90555789732865,-1.18035882908404,0.59730995342519
"MN",760009,14.8,14.6,15.1,2009,"sped","Special Education Child Count","Minnesota","MN-Minnesota",11248,748761,0.014799825,14.5301402,15.07442601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","High",2009,5.88081873521131,0.337245379738298,0.555961867743775
"AR",414546,2.4,2.3,2.6,2003,"sped","Special Education Child Count","Arkansas","AR-Arkansas",995,413551,0.002400216,2.254629296,2.555099716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","Low","Low",2003,5.61757272894594,-0.674490759476595,0.115982600429691
"OK",574282,6.5,6.3,6.7,2012,"sped","Special Education Child Count","Oklahoma","OK-Oklahoma",3733,570549,0.006500291,6.294866364,6.712345028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","SPED","SPED Special Education Child Count","High","Medium",2012,5.75912520419135,0.843113449345744,0.352567972525273
"KY",586381,2.9,2.8,3.1,2005,"sped","Special Education Child Count","Kentucky","KY-Kentucky",1701,584680,0.002900844,2.765576073,3.042666005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2005,5.76817988978989,-0.337245379738298,0.367701626372209
"TN",543490,3.9,3.8,4.1,2009,"medi","Medicaid","Tennessee","TN-Tennessee",2120,541370,0.003900716,3.737564871,4.070918481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","Low","Low",2009,5.73519155764996,0.337245379738298,0.312566194649041
"AZ",472700,7.8,7.5,8,2006,"medi","Medicaid","Arizona","AZ-Arizona",3687,469013,0.007799873,7.552017865,8.055761805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","Medium",2006,5.67458560230291,-0.168622689869149,0.211271727900003
"IN",924149,4.1,4,4.2,2002,"sped","Special Education Child Count","Indiana","IN-Indiana",3789,920360,0.004099988,3.971221464,4.232894716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","Low","Low",2002,5.96574199790945,-0.843113449345744,0.697899348315405
"FL",998003,1.7,1.7,1.8,2002,"medi","Medicaid","Florida","FL-Florida",1697,996306,0.001700396,1.620969202,1.783681988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2002,5.99913184677984,-0.843113449345744,0.753705859685281
"MO",409920,7.7,7.4,8,2008,"medi","Medicaid","Missouri","MO-Missouri",3156,406764,0.007699063,7.434868347,7.972527026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","MEDI","MEDI Medicaid","High","Medium",2008,5.61269910806459,0.168622689869149,0.107837017615488
"AL",683355,3.5,3.3,3.6,2007,"sped","Special Education Child Count","Alabama","AL-Alabama",2392,680963,0.003500377,3.362393411,3.643971468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2007,5.83464637643063,0,0.478791160105349
"LA",548070,2.3,2.2,2.5,2005,"medi","Medicaid","Louisiana","LA-Louisiana",1261,546809,0.002300801,2.176510807,2.432118102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2005,5.73883603051403,-0.337245379738298,0.318657426661357
"MD",27605,16.6,15.2,18.2,2010,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",458,27147,0.016591197,15.1329445,18.18558706,27,24.4,29.9,5.6,4.5,7.1,16.8,15,18.8,15.5,12.7,18.9,9.8,6.2,15.5,11.9,7.8,18.3,"D5 South Atlantic","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","High",2010,4.44098775147616,0.505868069607446,-1.85051635491653
"NC",582887,5.3,5.1,5.5,2005,"medi","Medicaid","North Carolina","NC-North Carolina",3089,579798,0.005299483,5.115484612,5.490032765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","Medium",2005,5.76558436945356,-0.337245379738298,0.36336357333931
"VT",52091,20.6,19.4,21.8,2010,"medi","Medicaid","Vermont","VT-Vermont",1073,51018,0.020598568,19.40439643,21.86399733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","Very High",2010,4.71676269473954,0.505868069607446,-1.38959670336334
"NM",302619,4.9,4.7,5.2,2011,"sped","Special Education Child Count","New Mexico","NM-New Mexico",1483,301136,0.004900552,4.656344912,5.157411037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2011,5.48089619181708,0.674490759476595,-0.112453315913756
"SD",115453,5.9,5.4,6.3,2012,"sped","Special Education Child Count","South Dakota","SD-South Dakota",681,114772,0.005898504,5.46877134,6.361438417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","Medium",2012,5.06240522236812,0.843113449345744,-0.811903053928403
"TN",861550,3.8,3.7,3.9,2007,"sped","Special Education Child Count","Tennessee","TN-Tennessee",3274,858276,0.003800128,3.671829852,3.932870134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","SPED","SPED Special Education Child Count","Low","Low",2007,5.93528048676835,0,0.646987148190205
"AK",60366,5.3,4.7,5.9,2005,"medi","Medicaid","Alaska","AK-Alaska",320,60046,0.005300997,4.744543045,5.921307777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","High","Medium",2005,4.78079239938368,-0.337245379738298,-1.28257991349694
"MS",293894,2.1,1.9,2.3,2004,"medi","Medicaid","Mississippi","MS-Mississippi",617,293277,0.002099396,1.938663792,2.273278529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","Low","Low",2004,5.46819071981371,-0.505868069607446,-0.133688753982608
"VA",1144601,11.7,11.5,11.9,2013,"sped","Special Education Child Count","Virginia","VA-Virginia",13392,1131209,0.011700147,11.5043485,11.89923045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","SPED","SPED Special Education Child Count","High","High",2013,6.05865412100125,1.01173613921489,0.853189103409789
"CO",145270,1.8,1.6,2,2001,"medi","Medicaid","Colorado","CO-Colorado",261,145009,0.001796655,1.588427417,2.031645118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","Low","Low",2001,5.16217593653016,-1.01173613921489,-0.645150113060738
"AL",301754,1.8,1.6,1.9,2002,"medi","Medicaid","Alabama","AL-Alabama",543,301211,0.001799479,1.652883655,1.958897759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6 East South Central","MEDI","MEDI Medicaid","Low","Low",2002,5.47965303574176,-0.843113449345744,-0.114531079245995
"AZ",432277,4,3.9,4.2,2003,"medi","Medicaid","Arizona","AZ-Arizona",1729,430548,0.00399975,3.81482363,4.193546269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","Low","Low",2003,5.63576212880496,-0.674490759476595,0.146383664956332
"OH",982164,7.6,7.4,7.8,2011,"medi","Medicaid","Ohio","OH-Ohio",7464,974700,0.007599545,7.429208875,7.773745285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2011,5.99218401156317,0.674490759476595,0.742093514672269
